Date,S1_TSMOM,S5_Donchian,S7_Halloween,S8_TurnOfMonth,S9_RiskParity,S10_SectorRotation,BENCH_SPY,BENCH_XIC.TO
2015-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-05,0.00021846071995268446,0.00021846071995268446,-0.02186697292733697,-0.02186697292733697,0.00021846071995268446,0.00021846071995268446,-0.01805989607453229,-0.02567404978014165
2015-01-06,-0.0002184130052902411,-0.0002184130052902411,-0.009320652726728829,-0.009320652726728829,-0.0002184130052902411,-0.0002184130052902411,-0.009418649970915238,-0.009222655482542419
2015-01-07,0.0,0.0,0.007117098665127997,0.007117098665127997,0.0,0.0,0.01246124840459073,0.001772948925665263
2015-01-08,0.0,0.0,0.015067194392531125,-0.0004,0.0,0.0,0.017744899065146313,0.012389489719915936
2015-01-09,0.0,0.0,-0.006410499029996963,0.0,0.0,0.0,-0.008013292535823058,-0.004807705524170869
2015-01-12,0.0,0.0,-0.009187168381588562,0.0,0.0,0.0,-0.00783383022266504,-0.010540506540512085
2015-01-13,0.0,0.0,-0.003403450382723938,0.0,0.0,0.0,-0.002812627077554253,-0.003994273687893624
2015-01-14,0.0,0.0,-0.006360821948040163,0.0,0.0,0.0,-0.006037123344823425,-0.006684520551256901
2015-01-15,0.0,0.0,-0.0061505357390926885,0.0,0.0,0.0,-0.009160534352394722,-0.0031405371257906545
2015-01-16,0.0,0.0,0.01600787300529527,0.0,0.0,0.0,0.013114102540183747,0.018901643470406793
2015-01-19,0.0,0.0,0.00022086452022163083,0.0,0.0,0.0,0.0,0.00044172904044326167
2015-01-20,0.0,0.0,0.0008455680350473727,0.0,0.0,0.0,0.0021326700721469027,-0.0004415340020521574
2015-01-21,0.00021846071995268446,0.00021846071995268446,0.011578787116382716,0.00021846071995268446,0.00021846071995268446,0.00021846071995268446,0.005048072659626701,0.01810950157313873
2015-01-22,-0.0002184130052902411,-0.0002184130052902411,0.014810679533538318,-0.0002184130052902411,-0.0002184130052902411,-0.0002184130052902411,0.014870853565454478,0.014750505501622158
2015-01-23,0.00021846071995268446,0.00021846071995268446,-0.0021002661115624432,0.00021846071995268446,0.00021846071995268446,0.00021846071995268446,-0.005483227334967422,0.0012826951118425356
2015-01-26,0.0,0.0,0.0020253381978349028,0.0,0.0,0.0,0.0023426071785819236,0.001708069217087882
2015-01-27,0.0,0.0,-0.004464131597233023,0.0,0.0,0.0,-0.01319081979005099,0.004262556595584943
2015-01-28,-0.0002184130052902411,-0.0002184130052902411,-0.014689064318425982,-0.0002184130052902411,-0.0002184130052902411,-0.0002184130052902411,-0.012824639898970758,-0.016553488737881206
2015-01-29,0.0,0.0,0.005269221774810595,0.0,0.0,0.0,0.009243795673257615,0.001294647876363575
2015-01-30,0.0,0.0,-0.005209871730013915,0.0,0.0,0.0,-0.012574850627978917,0.002155107167951087
2015-02-02,0.0,0.0,0.014149161442380431,0.013749161442380432,0.011275648366512292,0.0,0.012384058638809314,0.015914264245951548
2015-02-03,0.00021846071995268446,0.0012370542513508156,0.012522611418563812,0.012522611418563812,-0.0006338772098382077,0.00021846071995268446,0.014461073009805814,0.01058414982732181
2015-02-04,-0.0002184130052902411,-0.003794669130951109,-0.003788958216280447,-0.003788958216280447,-0.0002184130052902411,-0.0002184130052902411,-0.0038076518091711975,-0.0037702646233896964
